Content Code,DVC Partner,Photo / Video,Source Link,Preservation Link,Reported Location Details (free text),City,Content Description,Military visible?,Graphic,Publication Date,Publication Time,Verification Status,Category 1,Category 2,Perpetrators,Event Date,Event Time,Location,Latitude,Longitude,Related Content
MMR052,,Photo,https://twitter.com/2021nam/status/1367457373904719872,,NorthOkkalapa township,Yangon ,"Close up photo of a soldier with a fun, comment menions that this gun was used to shoot the civilians ",TRUE,FALSE,04.03.2021,19:30:00 PM,,,,,,,,,,
MMR053,,Photo, https://twitter.com/hannayuri_twt/status/1367443804224032771?s=20,,NorthOkkalapa,Yangon,Police handling guns going through the area of Yangon.,TRUE,FALSE,04.03.2021,18:26:00 PM,,,,,,,,,,
MMR054,,Photo,https://twitter.com/RkarHein19/status/1367454679567769601 ,,not specified,,"Pictures of 4 people shot in the heads, very graphic!",FALSE,TRUE,04.03.2021,19:09:00 PM,,,,,,,,,,"possible to verify the victims: https://twitter.com/rogun32/status/1367455278208196616, https://twitter.com/inquirerdotnet/status/1367674307652984832 "
MMR055,,Video,https://twitter.com/mrattkthu/status/1367015826180743178,,"Monywa, Sagaing Region",Monywa,"video of the police carrying body of the protestor, unable to say if dead or alive but definitley infured",TRUE,FALSE,04.03.2021,14:05:00 PM,Pending,,,,,,,,,
MMR056,,Video,https://twitter.com/keren_khin/status/1367400329684258816,,Tamwe,,Police throwing a tear gas at protestors.,FALSE,FALSE,04.03.2021,15:33 pm,Cannot Be Verified,Less-lethals,General protest,,04-Mar-21,around 3pm,Tamwe,,,
MMR057,,Video,https://twitter.com/jamesmilzer/status/1367490021343846408,,"Tagaung Pagoda Compound, Pathein, Ayeyarwaddy Region",Pathein,Large group of police or military shooting towards civilinas,TRUE,FALSE,04.03.2021,21:30,Verified,Military,Live Ammunition,Unclear,04-Mar-21,,,16.770985,94.733727,"https://www.facebook.com/508784185946254/videos/471999084209768
https://twitter.com/cAmihUJ8Gk6paK8/status/1367412966409138180"
MMR058,,Video,https://twitter.com/zayar31/status/1367489582858649602,,unspecified,,Military is beating up two boys,TRUE,FALSE,04.03.2021,21:28,Pending,Beating,Military,Military,04-Mar-21,11:27am ( video is recorded on the phone and the hour is visible),,,,
MMR059,,Video,https://twitter.com/Khaing77206799/status/1367411756956459008?s=20,,Yangon,Yangon,milirary dropping the tear gas into the civilians,FALSE,FALSE,04.03.2021,16:19,Cannot Be Verified,Less-lethals,,,,,,,,
MMR060,,Photo,https://twitter.com/ChoZinT17813976/status/1367489858873286664,,Mandalay,Mandalay,photo of injured boy and police detaining protestors,TRUE,FALSE,04.03.2021,21:29,,Injuries,Military,,,7:00 pm,Mandalay,,,https://pbs.twimg.com/media/EvpMxYMXAAgYzwR?format=jpg&name=medium
MMR061,,Video,https://twitter.com/298kyi/status/1367399730863480833,,Tamwe,Yangon,tear gas etc against protresters - lots of people running,FALSE,FALSE,04-Mar-21,,Verified,Less-lethals,,,04-Mar-21,15:20 (reportedly),,16.79974686,96.17570586,
